  RIND  GIND  NSUB OSUB ILAT ILON   LAT    LON    LON(W) RPTS FLAG  REG 
   178  3416    4   12    8   10   32.50  257.50 -102.50   27    0 wgrfc
   179  3417    4   12    8   11   32.50  260.00 -100.00   78    0 wgrfc
   180  3418    4   12    8   12   32.50  262.50  -97.50  132    0 wgrfc
   181  3419    4   12    8   13   32.50  265.00  -95.00  122    0 wgrfc
   182  3420    6    4    8   14   32.50  267.50  -92.50   84    0 lmrfc
   183  3421    6    4    8   15   32.50  270.00  -90.00   94    0 lmrfc
   184  3422    6   11    8   16   32.50  272.50  -87.50  104    0 serfc
   185  3423    6   11    8   17   32.50  275.00  -85.00   94    0 serfc
   186  3424    6   11    8   18   32.50  277.50  -82.50   65    0 serfc
   187  3425    6   11    8   19   32.50  280.00  -80.00   32    0 serfc
   188  3426    0    0    8   20   32.50  282.50  -77.50    3    3 outrg
   189  3427    0    0    8   21   32.50  285.00  -75.00    0    3 outrg
   190  3428    0    0    8   22   32.50  287.50  -72.50    0    3 outrg
   191  3429    0    0    8   23   32.50  290.00  -70.00    0    3 outrg
   192  3430    0    0    8   24   32.50  292.50  -67.50    0    3 outrg
   193  3551    0    0    9    1   30.00  235.00 -125.00    0    3 outrg
   194  3552    0    0    9    2   30.00  237.50 -122.50    0    3 outrg
   195  3553    0    0    9    3   30.00  240.00 -120.00    0    3 outrg
   196  3554    0    0    9    4   30.00  242.50 -117.50    0    3 outrg
   197  3555    0    0    9    5   30.00  245.00 -115.00    0    3 outrg
   198  3556    0    0    9    6   30.00  247.50 -112.50    0    3 outrg
   199  3557    0    0    9    7   30.00  250.00 -110.00    0    3 outrg
   200  3558    0    0    9    8   30.00  252.50 -107.50    1    3 outrg
   201  3559    4   12    9    9   30.00  255.00 -105.00    7    2 wgrfc
   202  3560    4   12    9   10   30.00  257.50 -102.50   28    0 wgrfc
   203  3561    4   12    9   11   30.00  260.00 -100.00   72    0 wgrfc
   204  3562    4   12    9   12   30.00  262.50  -97.50  151    0 wgrfc
   205  3563    4   12    9   13   30.00  265.00  -95.00   87    0 wgrfc
   206  3564    6    4    9   14   30.00  267.50  -92.50   74    0 lmrfc
   207  3565    6    4    9   15   30.00  270.00  -90.00  111    0 lmrfc
   208  3566    6   11    9   16   30.00  272.50  -87.50   39    0 serfc
   209  3567    6   11    9   17   30.00  275.00  -85.00   25    0 serfc
   210  3568    6   11    9   18   30.00  277.50  -82.50   57    0 serfc
   211  3569    0    0    9   19   30.00  280.00  -80.00   14    1 outrg
   212  3570    0    0    9   20   30.00  282.50  -77.50    0    3 outrg
   213  3571    0    0    9   21   30.00  285.00  -75.00    0    3 outrg
   214  3572    0    0    9   22   30.00  287.50  -72.50    0    3 outrg
   215  3573    0    0    9   23   30.00  290.00  -70.00    0    3 outrg
   216  3574    0    0    9   24   30.00  292.50  -67.50    0    3 outrg
   217  3695    0    0   10    1   27.50  235.00 -125.00    0    3 outrg
   218  3696    0    0   10    2   27.50  237.50 -122.50    0    3 outrg
   219  3697    0    0   10    3   27.50  240.00 -120.00    0    3 outrg
   220  3698    0    0   10    4   27.50  242.50 -117.50    0    3 outrg
   221  3699    0    0   10    5   27.50  245.00 -115.00    0    3 outrg
   222  3700    0    0   10    6   27.50  247.50 -112.50    0    3 outrg
   223  3701    0    0   10    7   27.50  250.00 -110.00    0    3 outrg
   224  3702    0    0   10    8   27.50  252.50 -107.50    0    3 outrg
   225  3703    0    0   10    9   27.50  255.00 -105.00    1    3 outrg
   226  3704    0    0   10   10   27.50  257.50 -102.50    1    3 outrg
   227  3705    4   12   10   11   27.50  260.00 -100.00   27    0 wgrfc
   228  3706    4   12   10   12   27.50  262.50  -97.50   62    0 wgrfc
   229  3707    0    0   10   13   27.50  265.00  -95.00    7    2 outrg
   230  3708    0    0   10   14   27.50  267.50  -92.50    0    3 outrg
   231  3709    0    0   10   15   27.50  270.00  -90.00    0    3 outrg
   232  3710    0    0   10   16   27.50  272.50  -87.50    0    3 outrg
   233  3711    0    0   10   17   27.50  275.00  -85.00    0    3 outrg
   234  3712    6   11   10   18   27.50  277.50  -82.50  104    0 serfc
   235  3713    6   11   10   19   27.50  280.00  -80.00   53    0 serfc
   236  3714    0    0   10   20   27.50  282.50  -77.50    2    3 outrg
   237  3715    0    0   10   21   27.50  285.00  -75.00    0    3 outrg
   238  3716    0    0   10   22   27.50  287.50  -72.50    0    3 outrg
   239  3717    0    0   10   23   27.50  290.00  -70.00    0    3 outrg
   240  3718    0    0   10   24   27.50  292.50  -67.50    0    3 outrg
   241  3839    0    0   11    1   25.00  235.00 -125.00    0    3 outrg
